fold,local_index,event_id,soh_bin,mileage,n_candidates_mileage,n_neighbors_available
0,945,1551,"(0.94, 0.945]",72309.2832,125,5
0,1035,1744,"(0.94, 0.945]",67347.2448,118,5
0,1036,1745,"(0.94, 0.945]",67537.9584,118,5
0,1037,1747,"(0.94, 0.945]",67911.36,118,5
0,1039,1749,"(0.94, 0.945]",68269.0272,118,5
0,1041,1751,"(0.94, 0.945]",68561.9616,119,5
0,1109,1908,"(0.94, 0.945]",71441.9904,125,5
0,1112,1913,"(0.94, 0.945]",74387.06880000001,124,5
0,1116,1918,"(0.94, 0.945]",76065.792,124,5
0,1117,1919,"(0.94, 0.945]",77151.6768,120,5
0,1118,1920,"(0.94, 0.945]",77426.1312,119,5
0,1122,1927,"(0.94, 0.945]",81011.35680000001,103,5
0,1123,1928,"(0.94, 0.945]",81369.3408,97,5
0,1124,1929,"(0.94, 0.945]",81581.28,94,5
0,1192,2076,"(0.94, 0.945]",69875.2032,122,5
0,1252,2209,"(0.94, 0.945]",73248.5952,127,5
0,1391,2431,"(0.94, 0.945]",40374.3648,15,5
0,1465,2517,"(0.94, 0.945]",75012.96,124,5
0,1478,2533,"(0.94, 0.945]",78389.8368,113,5
0,1479,2534,"(0.94, 0.945]",78559.53600000001,112,5
0,1726,2977,"(0.94, 0.945]",68700.72,120,5
0,1727,2978,"(0.94, 0.945]",68999.6736,121,5
0,1792,3114,"(0.94, 0.945]",65548.56,115,5
0,1793,3115,"(0.94, 0.945]",65778.13440000001,114,5
0,1794,3116,"(0.94, 0.945]",66157.4496,114,5
0,1804,3128,"(0.94, 0.945]",71980.9728,125,5
0,1894,3352,"(0.94, 0.945]",56587.5552,70,5
0,1899,3357,"(0.94, 0.945]",58615.8144,81,5
0,1900,3358,"(0.94, 0.945]",58850.352000000006,81,5
0,1910,3368,"(0.94, 0.945]",61467.3312,96,5
0,1911,3369,"(0.94, 0.945]",61835.136000000006,97,5
0,1914,3372,"(0.94, 0.945]",62853.96480000001,104,5
0,1917,3377,"(0.94, 0.945]",64093.286400000005,112,5
0,1918,3378,"(0.94, 0.945]",64304.2752,113,5
0,2105,3714,"(0.94, 0.945]",84017.6832,79,5
0,2112,3733,"(0.94, 0.945]",71133.4272,124,5
0,2114,3757,"(0.94, 0.945]",32268.72,10,5
0,2532,4440,"(0.94, 0.945]",62338.4256,101,5
0,2533,4441,"(0.94, 0.945]",62534.8416,104,5
0,2534,4442,"(0.94, 0.945]",62741.712,104,5
0,2535,4443,"(0.94, 0.945]",63082.4832,106,5
0,2541,4450,"(0.94, 0.945]",66262.83840000001,114,5
0,2542,4451,"(0.94, 0.945]",66546.1632,115,5
0,2544,4454,"(0.94, 0.945]",67660.032,118,5
0,2784,4976,"(0.94, 0.945]",77890.3488,116,5
0,2787,4980,"(0.94, 0.945]",78785.9424,113,5
0,2788,4981,"(0.94, 0.945]",79557.6672,111,5
0,2795,4988,"(0.94, 0.945]",81596.16960000001,94,5
0,2796,4989,"(0.94, 0.945]",81767.24160000001,93,5
0,2887,5165,"(0.94, 0.945]",70847.7792,123,5
0,2889,5170,"(0.94, 0.945]",72154.15680000001,125,5
0,2892,5174,"(0.94, 0.945]",72992.40960000001,127,5
0,2904,5186,"(0.94, 0.945]",76118.2752,124,5
0,3097,5519,"(0.94, 0.945]",86112.8928,73,5
0,3391,6021,"(0.94, 0.945]",75157.20960000002,124,5
0,3394,6026,"(0.94, 0.945]",76430.2176,124,5
0,3395,6027,"(0.94, 0.945]",76812.912,122,5
0,3396,6028,"(0.94, 0.945]",77223.168,120,5
0,3397,6029,"(0.94, 0.945]",77457.3888,119,5
0,3399,6031,"(0.94, 0.945]",77876.09280000001,116,5
0,3400,6033,"(0.94, 0.945]",78489.2064,112,5
0,3401,6035,"(0.94, 0.945]",78777.6,113,5
0,3402,6036,"(0.94, 0.945]",78972.1152,113,5
0,3403,6037,"(0.94, 0.945]",79123.54560000001,112,5
0,3543,6499,"(0.94, 0.945]",52566.9408,51,5
0,3702,6703,"(0.94, 0.945]",93689.376,29,5
0,3703,6704,"(0.94, 0.945]",94121.808,26,5
0,3704,6705,"(0.94, 0.945]",94423.92960000002,24,5
0,3709,6713,"(0.94, 0.945]",96956.5344,17,5
0,3710,6714,"(0.94, 0.945]",97275.7632,16,5
0,3776,6813,"(0.94, 0.945]",69152.5824,122,5
0,3777,6814,"(0.94, 0.945]",69769.4976,122,5
0,3778,6815,"(0.94, 0.945]",70054.61760000001,122,5
0,3879,6952,"(0.94, 0.945]",85210.8576,75,5
0,3881,6954,"(0.94, 0.945]",86257.4592,71,5
0,3883,6956,"(0.94, 0.945]",86845.22880000001,68,5
0,3995,7173,"(0.94, 0.945]",74676.7296,124,5
0,4139,7455,"(0.94, 0.945]",71372.2944,125,5
0,4140,7457,"(0.94, 0.945]",71969.8848,125,5
0,4141,7458,"(0.94, 0.945]",72176.2272,125,5
0,4162,7491,"(0.94, 0.945]",64480.732800000005,114,5
0,4163,7492,"(0.94, 0.945]",64872.72,115,5
0,4164,7493,"(0.94, 0.945]",65110.5312,115,5
0,4361,7755,"(0.94, 0.945]",81988.89600000001,92,5
0,4363,7757,"(0.94, 0.945]",82629.5712,88,5
0,4365,7759,"(0.94, 0.945]",83381.4432,82,5
0,4366,7760,"(0.94, 0.945]",83646.816,81,5
0,4371,7770,"(0.94, 0.945]",87805.1328,63,5
0,4372,7771,"(0.94, 0.945]",87970.3968,62,5
0,4373,7776,"(0.94, 0.945]",89308.13760000002,55,5
0,4410,7834,"(0.94, 0.945]",63286.7136,106,5
0,4411,7835,"(0.94, 0.945]",63472.464,107,5
0,4524,8027,"(0.94, 0.945]",64591.824,115,5
0,4528,8031,"(0.94, 0.945]",65343.0624,115,5
0,4530,8033,"(0.94, 0.945]",65644.2336,114,5
0,4531,8035,"(0.94, 0.945]",66027.6672,114,5
0,4532,8036,"(0.94, 0.945]",66153.12000000001,114,5
0,4533,8037,"(0.94, 0.945]",66321.9744,114,5
0,4534,8038,"(0.94, 0.945]",66495.3696,115,5
0,4535,8040,"(0.94, 0.945]",66791.5776,118,5
0,4536,8041,"(0.94, 0.945]",66941.952,117,5
0,4537,8042,"(0.94, 0.945]",67077.8592,118,5
0,4538,8043,"(0.94, 0.945]",67204.5792,118,5
0,4539,8044,"(0.94, 0.945]",67343.6544,118,5
0,4540,8045,"(0.94, 0.945]",67789.8144,118,5
0,4541,8046,"(0.94, 0.945]",67960.8864,118,5
0,4542,8048,"(0.94, 0.945]",68244.42240000001,118,5
0,5055,8853,"(0.94, 0.945]",76460.84160000001,124,5
0,5166,9018,"(0.94, 0.945]",71343.888,125,5
0,5170,9026,"(0.94, 0.945]",76335.9168,124,5
0,5172,9029,"(0.94, 0.945]",76836.77760000002,121,5
0,5173,9030,"(0.94, 0.945]",76996.2336,121,5
0,5180,9039,"(0.94, 0.945]",80209.53600000001,108,5
0,5695,10049,"(0.94, 0.945]",61740.624,96,5
0,5696,10051,"(0.94, 0.945]",62095.6512,99,5
0,5706,10065,"(0.94, 0.945]",65735.6832,114,5
0,5708,10067,"(0.94, 0.945]",66127.88160000001,114,5
0,5774,10217,"(0.94, 0.945]",58517.184,81,5
0,5871,10362,"(0.94, 0.945]",73509.84960000002,126,5
0,5929,10471,"(0.94, 0.945]",32498.7168,10,5
0,5930,10472,"(0.94, 0.945]",32586.8928,10,5
0,5931,10474,"(0.94, 0.945]",34433.7312,10,5
0,5932,10475,"(0.94, 0.945]",34704.700800000006,10,5
0,5934,10478,"(0.94, 0.945]",35950.358400000005,13,5
0,5980,10541,"(0.94, 0.945]",79375.296,111,5
0,6178,10924,"(0.94, 0.945]",58290.144,79,5
0,6337,11247,"(0.94, 0.945]",50285.0304,30,5
0,6338,11248,"(0.94, 0.945]",50623.47840000001,32,5
0,6339,11249,"(0.94, 0.945]",50803.42080000001,35,5
0,6341,11253,"(0.94, 0.945]",51900.182400000005,45,5
0,6354,11275,"(0.94, 0.945]",31137.744,10,5
0,162,345,"(0.945, 0.95]",73156.9344,131,5
0,163,346,"(0.945, 0.95]",73363.2768,130,5
0,165,348,"(0.945, 0.95]",74263.51680000001,128,5
0,166,349,"(0.945, 0.95]",74457.0816,127,5
0,167,350,"(0.945, 0.95]",74921.088,123,5
0,168,351,"(0.945, 0.95]",75235.4592,122,5
0,169,353,"(0.945, 0.95]",75690.1728,120,5
0,171,356,"(0.945, 0.95]",76706.57280000001,110,5
0,181,367,"(0.945, 0.95]",81405.6672,93,5
0,199,396,"(0.945, 0.95]",33964.3392,16,5
0,200,397,"(0.945, 0.95]",34172.7936,16,5
0,213,413,"(0.945, 0.95]",41066.9952,26,5
0,260,474,"(0.945, 0.95]",70686.10560000001,135,5
0,455,752,"(0.945, 0.95]",67903.44,138,5
0,456,753,"(0.945, 0.95]",68029.8432,138,5
0,457,754,"(0.945, 0.95]",68347.488,137,5
0,458,755,"(0.945, 0.95]",68594.6976,137,5
0,813,1356,"(0.945, 0.95]",69808.992,135,5
0,815,1358,"(0.945, 0.95]",70249.344,135,5
0,817,1361,"(0.945, 0.95]",71153.91360000001,134,5
